cat2,year,cplx,acap,pcap,act_effort
3,1979,1,2,2,117.6
3,1979,1,2,2,117.6
3,1979,1,2,2,31.2
3,1979,1,2,2,36
3,1979,1,2,2,25.2
3,1979,1,2,2,8.4
3,1979,1,2,2,10.8
3,1982,1,2,2,352.8
8,1980,1,1,1,72
8,1980,1,1,3,72
8,1984,1,1,1,24
8,1980,1,1,3,360
8,1985,1,1,2,36
8,1980,1,1,1,215
8,1983,1,1,1,48
8,1982,1,1,2,360
8,1980,1,1,3,324
8,1984,1,1,1,60
8,1983,1,1,1,48
8,1984,1,1,2,60
3,1985,1,2,2,60
3,1985,1,2,2,300
13,1985,1,2,2,120
9,1986,3,2,1,90
9,1986,1,2,1,210
9,1986,3,2,1,48
11,1982,1,3,2,70
11,1982,1,3,2,239
11,1982,1,3,2,82
5,1982,1,3,2,62
4,1982,1,3,2,170
6,1982,1,3,2,192
8,1985,1,2,2,18
3,1987,1,2,2,50
3,1987,1,2,2,60
9,1986,1,2,2,42
9,1986,1,2,2,60
9,1986,1,2,1,444
9,1986,1,2,2,42
9,1986,1,2,2,114
6,1980,1,1,1,1248
1,1982,2,1,2,1368
1,1982,2,1,2,973
3,1982,3,2,1,400
8,1977,3,1,3,420
8,1984,1,1,2,252
8,1980,5,2,2,107
13,1983,1,1,1,571.4
13,1984,1,1,1,98.8
13,1985,1,1,1,155
8,1979,4,1,2,750
14,1979,1,2,2,370
6,1979,1,3,3,1181
4,1977,4,1,3,278
3,1979,1,2,2,8.4
10,1975,1,3,3,720
10,1976,5,1,2,458
3,1971,3,1,1,162
3,1980,3,1,1,150
3,1979,1,1,1,636
3,1977,1,1,1,882
3,1976,1,1,1,444
3,1983,2,1,1,192
3,1978,1,1,1,576
3,1979,3,1,1,432
3,1979,1,1,1,72
3,1979,1,1,1,300
3,1979,1,1,1,300
3,1982,3,1,1,240
3,1978,3,1,1,600
3,1978,1,1,1,756
3,1978,4,1,1,1200
10,1979,4,1,1,97
8,1984,4,1,2,409
8,1984,4,1,2,703
2,1980,4,2,2,1350
2,1980,1,1,1,480
2,1977,4,3,3,599
2,1977,4,3,3,430
2,1982,4,1,2,648
2,1983,4,2,2,480
2,1983,4,2,2,12
12,1983,4,2,2,38
